Title:,18-Jul-2022_CHD8_cortex_downreg_1036-1039
Date/Time:,7/18/2022 4:42:55 PM,7/18/2022 6:25:02 PM
Device:,qTOWER³/G,3107B-3524198
Operator:,Ethan
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,95,10:00,0,0,0,0,8
,2,,95,00:15,0,0,0,0,8
,3,*,60,01:00,2,39,0,0,6
,4,*,60,00:15,4,35,1,0,5
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,Dye,Gene,Ct,Mean Ct,Std.Dev. Ct
G8,,1038_cx,Unknown,FAM,Ddo,35.38,35.37,0.02
G9,,1038_cx,Unknown,FAM,Ddo,35.35,35.37,0.02
G10,,1039_cx,Unknown,FAM,Ddo,33.12,33.11,0.01
G11,,1039_cx,Unknown,FAM,Ddo,33.11,33.11,0.01
G12,,1039_cx,Unknown,FAM,Ddo,No Ct,,
H1,,1036_cx,Calibrator,FAM,Gapdh,18.28,18.16,0.11
H2,,1036_cx,Calibrator,FAM,Gapdh,18.07,18.16,0.11
H3,,1036_cx,Calibrator,FAM,Gapdh,18.11,18.16,0.11
H4,,1037_cx,Calibrator,FAM,Gapdh,18.38,18.47,0.09
H5,,1037_cx,Calibrator,FAM,Gapdh,18.48,18.47,0.09
H6,,1037_cx,Calibrator,FAM,Gapdh,18.56,18.47,0.09
H7,,1038_cx,Calibrator,FAM,Gapdh,18.67,18.77,0.14
H8,,1038_cx,Calibrator,FAM,Gapdh,18.69,18.77,0.14
H9,,1038_cx,Calibrator,FAM,Gapdh,18.93,18.77,0.14
H10,,1039_cx,Calibrator,FAM,Gapdh,16.64,17.06,0.55
H11,,1039_cx,Calibrator,FAM,Gapdh,16.84,17.06,0.55
H12,,1039_cx,Calibrator,FAM,Gapdh,17.68,17.06,0.55
